word,pos,chinese,example sentence
think of A as B,phrase,把 A 視為 B,Many people think of their pets as family members.
budget,noun,預算,We need to make a budget for our school trip.
energy,noun,能量,Eating a good breakfast gives you energy for the day.
consider your schedule,phrase,考慮你的時間/行程,Please consider your schedule before you join the club.
vet,noun,獸醫,I took my sick dog to the vet yesterday morning.
scatter,verb,撒,The children scattered seeds for the birds in the park.
drop coin,phrase,撒錢,He dropped a coin into the box to help poor people.
plenty,pronoun,充足,"Don't worry, we have plenty of time to catch the bus."
guest,noun,客人,We invited ten guests to our dinner party tonight.
invitation,noun,邀請,I received an invitation to my friend's birthday party.
house warming,noun phrase,喬遷派對,They are having a house warming party in their new home.
allow,verb,允許,My parents don't allow me to go out late at night.
tool,noun,工具,A hammer is a useful tool for fixing things.
pottery,noun,陶器,Making pottery is a fun and creative hobby.
clay,noun,陶土,We used clay to make a beautiful bowl in art class.
bowl,noun,碗,I usually eat a large bowl of noodles for lunch.
hobby,noun,嗜好,My favorite hobby is playing basketball with friends.
under stress,phrase,壓力很大,Many students are under a lot of stress before exams.
stay awake,phrase,保持清醒,I drank some tea to stay awake during the long movie.
messy,adjective,雜亂,Your room is very messy; please clean it up now.
reduce stress,phrase,降低壓力,Listening to music can help you reduce stress.
take care of,phrase,照顧,My sister helps take care of our baby brother.
